,,,,,,,,,,,,,,,,,,,,,
ID Weekly,Status,Type,Department,PIC,Onething,Plan Detail,Result,Pending,Deadline,Comment,Link,Win,Red Flag,Top 5 Things,Label,History,Updated Date,Created Date,Week,Month,Year
BA5A49E8,2. Processing,Task,,PHAN MINH TRÍ - 0932709067,Operation,Masterclass : check các chỉ số quan trọng để quản lý lớp học tốt hơn,"1. Head : Observation, Score
2. Teacher : Achievement, RedFlag, Action
3. Academic : Roadmap, Aid, Exam
4. Opeartion : Fees,","- Check formula
- Operation : more figures",16/05/2026,,,,,,Operation,,,07/05/2026,2,05,2026
6963366F,3. Completed,Task,,PHAN MINH TRÍ - 0932709067,Operation,Weekly Meeting (Leader),"Available on Potato App : 
- Leaders (Onething)
- Tasks (Executive)",,08/05/2026,,,,,,Operation,,11/05/2026 13:51:46,07/05/2026,1,05,2026
,,Task,,,,,,,,,,,,,,,,,,,
7285A7AD,3. Completed,Task,,PHAN MINH TRÍ - 0932709067,Fees,"Double-check All Fees again according to Schedule change due to holiday (Start Date, End Date)","- Nút Auto cập nhật Start-End Date chính xác theo Schedule
- Các lớp mới mở tháng 04,05 : J1,3,4, T2(KET).
- HDT2KSSETKD251206 : Sai số buổi tháng 03. Tách 3h thành 2b riêng. => Trừ lại tháng cuối cùng.
- Misa : bổ sung Invoice No",,16/05/2026,"- IELTS Exam : tách buổi 3h . Tăng số buổi . Học phí đã thu.
Ngày kết thúc ?
- IELTS Teacher : kết thúc ?",,,,,Fees,"Mr. Trí - Processing (12/05/26-14:33)
Mr. Trí - Result-P (12/05/26-16:39)
Mr. Trí - Completed (13/05/26-10:47)
Mr. Trí - Comment (13/05/26-10:47)",,07/05/2026,2,05,2026
0F1BA7DC,2. Processing,Task,,PHAN MINH TRÍ - 0932709067,Roadmap,Upload full roadmap (Ms. Khanh) on App,"KID, JUNIORS, JUNIOR 4+, TEEN, TEEN 2+, PRE-IELTS 1-2","MOVERS, FLYERS,PET",16/05/2026,,,,,,Roadmap,"
Mr. Trí- Processing (12/05/26-09:33)
Mr. Trí- Comment (12/05/26-09:34)",,07/05/2026,2,05,2026
A42CE738,3. Completed,Task,,PHAN MINH TRÍ - 0932709067,Schedule,"1. New Function : Off Schedule => Create new schedule base on the last day.
2. Fix ID : HDJ6MTTETKD260312|C5398A8A . Off","- ""Off"" Button
- Auto Add New Schedule ""bù""
- Auto Lesson No & Roadmap
- Đã Fix HDJ6MTTETKD260312|C5398A8A",,16/05/2026,,,,,,Schedule,"
Mr. Trí- Completed (12/05/26-09:05)",,07/05/2026,2,05,2026
645EB18D,1. New,Task,,PHAN MINH TRÍ - 0932709067,Operation,1. Employee Overview : chấm điểm hàng tháng để mn tích điểm để lên Band & Level,,,23/05/2026,,,,,,Operation,,,07/05/2026,3,05,2026
11D21EE7,1. New,Task,,PHAN MINH TRÍ - 0932709067,Salary,Export File - Monthly,,,23/05/2026,,,,,,Salary,,,07/05/2026,3,05,2026
6F80AD0E,1. New,Task,,PHAN MINH TRÍ - 0932709067,Operation,"Outside Banner : Content, Design",,,23/05/2026,,,,,,Operation,,,07/05/2026,3,05,2026
AF5550B2,2. Processing,Task,,VÕ THỊ ANH ĐÀO - 0937229086,Teaching Quality,Cambridge exam Teaching Technique - based on teaching demo weekly. Focus on KET,"Khanh PET Reading part 4. Dat PET speaking, Doan Grammar 6F Teen 2",Dat's reteaching next week. Khôi preparing Teacher Playbook for KET exam,10/06/2026,,https://docs.google.com/spreadsheets/d/1uy69zX3OLBWIftODGm24P2SjQ2ESRf4eLhrirrHNBJc/edit?gid=1091356348#gid=109135634,,,,Teaching Quality,"Ms. Đào- Update (18/05/26-21:58)
Ms. Đào- Update (18/05/26-21:59)",,07/05/2026,1,05,2026
